1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,0.363,,,,0.358,,,,,,,0.3605
Paraguay,,,,,,,,,,,,,,,,,,0.5770000000000001,0.514,0.488,0.449,0.489,0.45299999999999996,0.43200000000000005,0.41600000000000004,0.39,0.37,0.314,0.28,0.272,0.266,0.289,,0.39993333333333336
Peru,,,,,,,,,,,,,,,,,,,,0.5870000000000001,0.556,0.49200000000000005,0.424,0.373,0.335,0.308,0.278,0.258,0.239,0.22699999999999998,0.218,0.207,,0.34630769230769237
Philippines,,,,,,,,,,,,,,,,,,,0.249,,,0.266,,,0.263,,,0.252,,,0.21600000000000003,,,0.2492
Poland,,,,,,,,,,,,,,,,0.14800000000000002,0.156,0.166,,0.205,0.191,0.17300000000000001,0.16899999999999998,0.171,0.17600000000000002,0.177,0.171,0.17300000000000001,0.17,0.17600000000000002,0.17300000000000001,,,0.17300000000000001
Romania,,,,,,,,,,,,,,,,,,,,,,0.24600000000000002,0.23600000000000002,0.221,0.21600000000000003,0.223,0.22899999999999998,0.23,0.251,0.254,0.253,,,0.2359
Russia,,,,,,,,,,,,,,,,0.29,,0.24600000000000002,0.203,0.17600000000000002,0.17800000000000002,0.152,0.133,0.134,0.13,0.125,0.127,0.107,0.10800000000000001,0.11199999999999999,0.133,0.134,,0.1555
Rwanda,,,,,,,,,,,,,,,,0.589,,,,,0.5670000000000001,,,,,0.46,,,0.391,,,,,0.50175
Samoa,,,,,,,,,,,,,,,,,,,,,,,,0.26899999999999996,,,,,,,,,,0.26899999999999996
Sao Tome and Principe,,,,,,,,,,,,,,,,0.6829999999999999,,,,,,,,,,0.662,,,,,,,,0.6725
Senegal,,,,,,,,,,,,,,,,,0.552,,,,0.483,,,,,,0.467,,,,,,,0.5006666666666667
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,0.254,0.254,0.255,,,0.252
Seychelles,,,,,,,,,,,,,,,,,,,,,,0.37799999999999995,,,,,,,0.39299999999999996,,,,,0.38549999999999995
Sierra Leone,,,,,,,,,,,,,,,,,,,0.664,,,,,,,,0.529,,,,,,,0.5965
Slovak Republic,,,,,,,,,,,,,,,,,,,,0.133,0.11599999999999999,0.106,0.109,0.11,0.12,0.13,0.132,0.128,0.126,,,,,0.121
Slovenia,,,,,,,,,,,,,,,,,,,,0.122,0.11599999999999999,0.115,0.12300000000000001,0.113,0.127,0.136,0.135,0.145,0.145,0.14300000000000002,,,,0.1290909090909091
Solomon Islands,,,,,,,,,,,,,,,,,,,,,0.22699999999999998,,,,,,,,0.127,,,,,0.177
South Africa,,,,,,,,,,,,,,,,,,,,,0.6659999999999999,,,0.621,,0.532,,,,0.555,,,,0.5935
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,0.506,,,,,,,,,0.506
Sri Lanka,,,,,,,,,,,,,,,,,,0.22699999999999998,,,,0.152,,,0.08900000000000001,,,0.067,,,,0.040999999999999995,,0.11520000000000001
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,0.465,,,,,,,,,0.465
Swaziland,,,,,,,,,,,,,,,,,0.69,,,,,,,,0.63,,,,,,,,,0.6599999999999999
Syria,,,,,,,,,,,,,,,,,,,,0.301,,,0.35200000000000004,,,,,,,,,,,0.3265
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34299999999999997,0.32,0.313,,,0.3253333333333333
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282,,,,,,,0.282
Thailand,,,,,,,,,,,,,,,,0.423,,0.324,,0.268,,0.21899999999999997,0.2,0.204,0.179,0.16399999999999998,0.132,0.126,0.109,0.105,,,,0.20441666666666666
Timor-Leste,,,,,,,,,,,,,,,,,0.363,,,,,,0.504,,,,,,,0.418,,,,0.4283333333333333
Togo,,,,,,,,,,,,,,,,,,,,,,0.617,,,,,0.5870000000000001,,,,0.551,,,0.5850000000000001
Tonga,,,,,,,,,,,,,,,,,0.162,,,,,,,,0.225,,,,,,,,,0.1935
Tunisia,,,,,,,,,,,,,,,,0.254,,,,,0.231,,,,,0.205,,,,,0.152,,,0.2105
Turkey,,,,,,,,,,,,,,,,,,0.303,0.23800000000000002,0.209,0.16399999999999998,0.133,0.084,0.068,0.043,0.037000000000000005,0.027999999999999997,0.023,0.021,0.016,0.016,,,0.09878571428571428
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,0.263,,,,,,,,0.263
Uganda,,,,,,,,0.564,,,,0.444,,,0.33799999999999997,,,0.38799999999999996,,,0.311,,,,0.245,,,0.19699999999999998,,,,,,0.3552857142857143
Ukraine,,,,,,,,,,,,,,,,,,0.833,0.762,0.6559999999999999,0.5529999999999999,0.49700000000000005,0.127,0.071,0.057999999999999996,0.086,0.078,0.09,0.083,0.086,0.064,0.038,,0.27213333333333334
Uruguay,,,,,,,,,,,,,,,,,,,,,,0.325,0.29600000000000004,0.242,0.21,0.185,0.13699999999999998,0.124,0.115,0.09699999999999999,0.09699999999999999,0.094,,0.17472727272727273
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.141,,,,,0.1455
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,0.127,,,,,,,,0.127
Venezuela,,,,,,,,,,,,,0.556,0.49,0.428,0.41600000000000004,0.311,0.41100000000000003,0.54,0.531,0.424,0.331,0.275,0.27699999999999997,0.264,0.268,0.27399999999999997,0.272,0.294,0.295,0.331,,,0.3677894736842105
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,,0.172,,0.135,,0.098,,0.153
Yemen,,,,,,,,,,,,,,,,,,,,,0.348,,,,,,,,,0.486,,,,0.417
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,0.547,,,,,0.544,,,0.5455000000000001
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723,,,,,,,0.723
